repeat,index,actuator_name,semantic_role,finger_group,type,included_in_flex11,constant_on_analysis_partition,oa_discriminative_f_raw,oa_discriminative_scaled,oa_within_class_variability_raw,oa_within_class_penalty_scaled,oa_instability_raw,oa_instability_penalty_scaled,oa_redundancy_max_abs_correlation,refinement_sensitivity_penalty,utility_score,utility_rank
7,15,right_t-mcp_actuator,thumb MCP flexion,thumb,flexion,yes,no,132.52035477474172,0.6455639485742599,0.1910159290896868,0.3939051615760896,0.4916459248098914,0.3115904280973663,0.6019214192446382,0.15161145379781948,0.3717396416043956,4
7,16,right_t-pip_actuator,thumb IP flexion,thumb,flexion,yes,no,77.86016993570192,0.5520492972994281,0.23259684808327993,0.5147314280979461,0.6713535478013216,0.7569304796666969,0.6019214192446382,0.1806394490022503,0.15459621410456886,7
8,0,right_wrist_actuator,wrist,wrist,wrist,no,no,3.183760166174808,0.0,0.23859715078468313,0.5770702303733578,0.4770659236823238,0.266024789538318,0.3993612699823139,0.7695911317466319,-0.37281537576034496,17
8,1,right_p-abd_actuator,little abduction,little,abduction,no,no,32.844562072805076,0.3831617591998904,0.24484557644653027,0.5968236441350183,0.6358523841976838,0.6553833984705629,0.6715423518766316,0.36953504550342986,-0.05328244113498603,10
8,2,right_p-mcp_actuator,little MCP flexion,little,flexion,yes,no,14.389224349010046,0.23871588287485332,0.2963764230893933,0.7597303009974825,0.6173128967854373,0.6099229164765653,0.5436430522784222,0.3480432517396604,-0.20695422127254276,14
8,3,right_p-pip_actuator,little PIP flexion,little,flexion,yes,no,114.81486785530741,0.6086369453962017,0.246034646245174,0.6005827010551514,0.4993825045099124,0.32074704255001835,0.5409741644823567,0.17701399034586596,0.2866436383981768,5
8,4,right_r-abd_actuator,ring abduction,ring,abduction,no,no,41.80475378704883,0.4262091617483914,0.23202271105479833,0.556286174474528,0.7763923623472713,1.0,0.6715423518766316,0.2595128906716823,-0.05252066825248769,9
8,5,right_r-mcp_actuator,ring MCP flexion,ring,flexion,yes,no,41.247943128700776,0.4238093701721551,0.24959776476932868,0.6118469391686377,0.6063140438755983,0.5829527449964155,0.8632832533342907,0.26297039240834863,-0.014680960480683326,8
8,6,right_r-pip_actuator,ring PIP flexion,ring,flexion,yes,no,978.760302438738,1.0,0.05605754119318012,0.0,0.36857690155443823,0.0,0.9394630445496397,0.0,0.859080543317554,1
8,7,right_m-abd_actuator,middle abduction,middle,abduction,no,no,17.17740078831062,0.26923431829288186,0.3723788483474271,1.0,0.5546262450222023,0.4562096373346561,0.39831855765489893,1.0,-0.28175539282228423,16
